Record_ID,Customer_ID,dob,State_ID,Occupation_ID,Investment_Exp,Expected_Fund_Size,Residual Proportion,Freq_of_Investment_ID,Portfolio_Driver,Risk_Profile,Return_Profile,Stretegy_ID
650248897,4748,1/01/2015,4,667,8,59215.53,0.390319147,1,Auto,4,1,2
934008621,5304,24/01/1975,5,202,2,67265.77,0.045967904,2,Manual,5,4,1
855642097,6988,22/08/1974,7,676,10,3088.08,0.328012254,7,Manual,3,3,5
134707450,9701,2/07/2012,6,156,8,47002.89,0.416020642,1,Manual,1,2,3
575325129,7971,7/10/1982,6,126,7,35118.48,0.189051353,4,Auto,3,5,4
799374150,2694,10/02/2009,5,621,7,48570.89,0.488845662,1,Manual,2,1,4
978857148,479,15/04/1989,6,653,9,75250.68,0.127508493,2,Auto,3,2,5
193539962,7999,26/08/1977,7,757,4,26672.1,0.070859888,4,Auto,3,4,3
296508483,5958,8/02/1997,5,453,9,52123.4,0.320091158,7,Manual,3,2,2
879356319,8196,7/01/1983,5,113,10,77169.77,0.416761086,4,Manual,3,3,2
836071549,8530,9/08/1977,2,664,10,1419.39,0.090866955,4,Manual,2,1,5
832113256,4360,23/03/1994,5,665,6,53309.11,0.106490332,3,Manual,4,1,2
850922489,9005,23/03/2009,6,12,8,61640.44,0.34043075,1,Manual,2,5,5
734116093,4219,23/05/1999,5,647,10,4870.76,0.102161745,7,Manual,2,1,4
98659498,6816,28/07/1971,2,832,5,8410.79,0.239901745,1,Manual,4,2,3
815267910,5166,18/11/2017,5,37,1,68344.78,0.233863319,3,Auto,2,3,2
955994138,893,24/02/1976,3,16,5,29750.41,0.290223151,1,Manual,5,1,3
181570703,9541,20/12/1983,8,891,3,95153.36,0.498193899,5,Manual,1,5,4
326853169,2479,19/01/1989,3,190,8,9831.36,0.334691163,3,Manual,3,5,5
138271359,4839,14/03/2003,6,449,3,33816.16,0.173330184,3,Manual,2,1,1
807993761,6447,11/08/2007,2,876,1,3388.26,0.326670786,7,Manual,3,4,4
967440076,5443,19/11/1971,5,342,8,89857.65,0.18048363,3,Auto,3,1,4
623893738,6176,5/09/1984,1,67,9,38066.95,0.062815522,4,Auto,4,2,4
696950135,6760,18/09/1994,3,878,5,49902.13,0.375372637,5,Auto,2,2,2
882903256,4967,23/01/1992,2,694,1,37221.52,0.36166218,6,Auto,3,2,4
227409768,5823,6/02/1982,6,223,1,1136.13,0.462623051,2,Auto,1,3,1
992990860,9308,28/05/1981,8,336,9,5998.74,0.291805259,3,Auto,2,3,3
485991911,9964,12/12/2010,8,356,7,55098.08,0.208453227,1,Auto,4,5,1
222957832,8498,22/10/1981,1,245,7,2295.44,0.156424069,3,Manual,4,2,3
730497052,1644,24/08/1983,1,698,1,97787.85,0.130162077,5,Manual,3,5,4
329147322,6359,9/07/2008,8,853,8,30235.6,0.235644703,4,Manual,3,1,5
160090314,5528,13/04/1974,6,9,3,59929.95,0.484443054,4,Manual,4,4,1
222303671,6362,4/07/2006,8,47,6,96157.79,0.047574712,4,Manual,1,1,5
270697049,1967,13/07/2002,3,473,7,4795.72,0.157359214,1,Manual,5,4,3
395405914,1890,24/08/1977,2,725,2,38012.88,0.268118491,2,Manual,2,5,3
159835668,6636,16/05/1978,7,527,3,67966.7,0.209274815,6,Auto,3,3,2
509409558,4012,26/02/2021,2,871,1,73562.74,0.383515947,5,Auto,4,2,1
624506352,142,12/07/1996,6,541,7,68464.75,0.467486963,2,Auto,5,1,5
575945518,2217,19/02/1976,2,412,9,8252.11,0.139960669,5,Manual,4,4,1
530802674,7584,8/08/1972,7,100,1,84050.49,0.403961598,2,Manual,3,3,3
374933051,4091,19/06/1999,8,157,9,82738.2,0.26724548,6,Manual,5,2,5
846031189,1013,10/03/2014,8,830,10,47573.93,0.181842524,2,Auto,2,2,2
77100972,3872,27/08/1983,8,805,6,39872.83,0.437417277,5,Manual,2,2,3
348451215,1241,5/01/2020,5,803,8,10788.36,0.153753125,1,Auto,1,1,2
641584624,5643,19/03/1971,3,565,10,22481.05,0.172656974,1,Auto,3,1,1
663569621,9522,19/07/2005,8,220,4,10987.05,0.026969996,3,Auto,5,4,3
892296720,6953,4/02/1977,8,430,4,2731.1,0.207524585,7,Auto,4,2,3
44137470,7572,1/05/1976,6,21,4,30240.06,0.219308075,5,Auto,5,1,2
14744695,8361,28/07/1992,5,180,9,51715.81,0.326423149,3,Auto,1,3,4
69007846,3836,27/01/2006,4,205,9,67323.17,0.253317259,2,Manual,1,2,2
429861656,6420,21/11/2017,4,91,7,59574.87,0.228055846,4,Auto,2,4,3
826092759,2244,3/07/2000,1,311,3,60859.44,0.427922566,6,Manual,5,1,4
295218756,407,1/05/1976,1,672,8,18194.42,0.187383878,3,Manual,1,3,3
139951321,7349,1/03/1997,2,646,8,85781.16,0.028361367,4,Auto,2,4,5
947603021,8608,16/11/2002,2,779,1,13039.84,0.386257916,4,Auto,4,3,2
439834462,1754,15/09/1977,6,574,9,49858.49,0.124105055,4,Auto,5,2,1
687966592,5919,9/05/2005,6,297,1,56801.12,0.075441328,4,Auto,4,2,3
572577155,6349,26/04/2010,4,208,10,48956.71,0.378928085,7,Auto,2,5,1
242789700,5376,7/04/2020,5,158,6,99239.48,0.316351778,2,Auto,4,2,1
345541145,7661,16/03/2009,5,632,8,61358.27,0.059465529,6,Manual,2,5,4
480324057,8982,1/06/1991,7,513,4,72425.41,0.178021375,3,Auto,1,4,1
989606754,841,20/01/1976,3,268,7,97446.1,0.097633654,6,Auto,5,3,2
802349794,2483,25/12/2014,3,216,4,91770.6,0.039229742,4,Auto,3,5,4
743346547,7370,11/10/2010,5,138,6,18590.15,0.452467353,1,Manual,2,2,3
714316822,1354,15/01/2006,1,707,8,51441.52,0.200910268,5,Auto,3,5,5
574383851,3708,16/06/2013,1,562,6,82534.16,0.226885925,1,Auto,5,2,3
273257899,5733,23/03/1982,4,48,7,47935.71,0.241618744,6,Auto,4,1,4
400264268,5031,10/12/1976,1,573,5,96307.63,0.461721999,6,Manual,1,1,2
758511769,5388,23/11/2001,6,575,1,48934.78,0.28977161,4,Manual,1,1,4
211743393,7549,18/08/2015,8,446,5,58428.17,0.027161162,4,Manual,4,5,5
319383467,6604,3/02/2010,1,89,7,80182.34,0.460930729,6,Manual,4,3,5
161844232,505,1/01/1996,8,313,3,87784.11,0.220621806,1,Manual,4,2,5
468881074,9290,8/08/2021,8,128,3,95313.54,0.100848397,3,Auto,5,1,2
773235608,2912,13/08/2001,4,364,3,94144.37,0.262885331,7,Manual,1,4,5
479730019,8649,12/06/2018,8,10,10,50336.48,0.494403353,4,Manual,1,3,5
507747209,9493,23/07/2008,1,256,6,10664.18,0.003981089,4,Manual,2,5,3
815975611,6852,5/08/2014,1,16,2,25510.8,0.216393115,2,Manual,5,4,3
681359705,3136,23/02/1995,8,397,6,42533.06,0.046817952,7,Auto,2,1,3
424988589,9530,28/06/2014,4,3,1,56350.29,0.015207887,7,Manual,3,1,4
449311952,2509,22/09/1979,2,876,4,79000.12,0.456423337,5,Auto,4,4,1
725790324,850,21/03/1982,3,747,3,67611.04,0.250701001,1,Manual,4,4,3
207069955,5483,20/07/2005,4,686,6,92267.84,0.401696886,2,Manual,3,1,4
552642864,8909,12/05/2012,4,718,10,15819.55,0.102637621,6,Manual,3,5,4
762265154,6254,3/01/2004,7,321,5,62853.84,0.377735338,7,Manual,4,2,1
477793751,2112,15/09/1980,1,155,5,87719.87,0.068641696,1,Auto,3,3,3
745345319,6656,4/11/1974,3,596,2,22251.16,0.243147824,5,Auto,5,1,2
868978803,6268,6/04/1971,4,539,5,62642.42,0.173202062,1,Auto,2,5,1
351829983,6780,28/04/1995,7,599,6,21275.22,0.080874741,1,Auto,2,4,2
766348525,4681,26/03/2003,8,488,3,15245.71,0.397593802,1,Manual,5,4,1
597800273,7978,9/02/1988,4,493,4,66551.36,0.489926809,4,Manual,4,2,5
941398331,2692,18/02/1999,3,798,6,87095.65,0.346686597,4,Auto,3,4,3
590334212,6978,22/06/2003,8,374,10,810.37,0.488823763,7,Manual,3,1,2
981002066,9174,20/11/2018,6,527,9,54449.73,0.219017327,3,Manual,3,3,5
537720834,2415,21/03/1978,2,194,5,42827.47,0.13959432,4,Auto,2,3,5
270115807,4589,6/10/1991,2,271,4,38188.71,0.200923621,2,Manual,5,5,1
490514853,3849,12/12/1986,3,677,2,80920.6,0.259159868,7,Auto,5,2,2
416485026,1935,15/01/1993,4,208,7,22092.21,0.188990456,6,Auto,4,1,1
236042864,1425,23/06/1974,1,791,2,71334.9,0.438205475,3,Auto,5,4,3
549212283,6216,28/12/1997,4,498,9,88383.58,0.360666891,5,Manual,1,4,5
235722726,5317,1/02/1970,4,682,2,19214.78,0.20134684,7,Manual,3,3,1
101139417,2812,21/02/1990,8,395,3,72212.69,0.036627425,1,Manual,3,1,3
524053132,3927,24/06/1997,5,721,1,35011.95,0.403860816,1,Auto,1,3,4
610115926,882,25/10/1980,7,798,1,99182.57,0.311695668,7,Auto,5,1,4
566495159,4740,21/01/1981,5,529,9,91309.4,0.034896309,2,Manual,1,5,1
922571597,8360,6/09/1996,8,179,1,6546.76,0.332641482,3,Auto,2,4,5
159625104,9696,8/06/1976,2,826,1,56254.83,0.360189954,6,Auto,3,1,4
329391557,2514,13/05/2014,3,831,8,76452.66,0.024445547,1,Manual,5,2,2
338485936,4009,1/01/1997,4,205,1,6587.6,0.169043565,2,Manual,1,3,4
513453858,9970,27/08/1986,5,173,2,50667.46,0.066397076,6,Auto,4,4,4
513791582,4337,27/07/1974,6,908,8,98167.57,0.442304123,4,Manual,3,1,1
319501636,7662,23/04/1987,6,713,4,86220.99,0.285898418,2,Auto,2,4,3
727163840,9435,4/04/2000,4,887,9,53273.41,0.353059733,2,Manual,3,4,3
259030177,2287,16/01/1977,6,216,10,54511.47,0.03040444,1,Auto,3,1,3
846761301,8673,3/04/1993,4,712,3,64070.76,0.151792246,6,Manual,5,5,4
870219724,8715,21/07/2016,5,508,4,36103.36,0.044614753,3,Manual,2,4,3
651385621,2308,12/08/2003,1,436,7,58466.89,0.441812443,1,Manual,5,1,5
680555617,7711,9/10/1988,3,299,6,18877.09,0.123230477,5,Auto,4,4,5
365163420,6496,9/10/1980,8,505,3,65756.76,0.468723618,4,Manual,5,2,3
81588312,5440,13/06/2005,6,867,6,40262.25,0.187520854,4,Manual,5,5,2
562946952,5701,25/06/1977,4,13,3,74806.8,0.400295547,6,Manual,1,2,3
304399678,9515,14/11/2021,1,287,9,60284.31,0.413238822,2,Manual,1,2,5
713190352,4740,28/03/1998,1,123,7,48238.61,0.337734597,7,Manual,2,2,5
466819224,4407,9/02/1987,2,850,8,36163.12,0.068529392,3,Manual,5,1,3
887895588,4525,10/05/2016,7,58,5,75851.21,0.184661393,1,Auto,1,1,2
678230205,1493,1/12/1988,5,797,10,30263.2,0.022369649,5,Manual,1,4,4
796092531,2148,17/04/2015,1,669,1,53592.31,0.451363294,5,Auto,1,2,2
454368644,3001,5/12/1994,5,766,1,83732.44,0.096198171,2,Manual,1,2,3
310984605,5851,7/04/2002,1,507,7,42218.89,0.230141832,1,Auto,3,4,3
267290515,448,17/08/1994,4,628,1,73918.36,0.419647843,5,Manual,2,5,3
28932171,756,23/07/1996,2,914,2,24580.6,0.406383673,2,Manual,2,1,5
377459575,1187,25/05/1973,5,413,10,92138.67,0.085661657,3,Manual,3,2,2
424428333,3906,18/04/1990,5,119,4,54916.95,0.005546112,6,Manual,1,1,5
370242007,8187,9/04/1978,4,330,5,38561.5,0.286809475,5,Manual,1,1,3
933883857,1656,24/01/1993,8,219,8,67226.73,0.03810472,3,Auto,3,2,3
604810180,8631,23/07/2008,1,178,9,75303.55,0.019739314,3,Manual,4,1,3
71647067,9824,2/08/1987,4,866,10,32980.7,0.364321837,3,Manual,3,2,4
922224831,8594,22/05/2020,2,838,3,5375.74,0.141187253,7,Manual,3,2,3
697802889,4813,19/10/1986,5,248,8,76279.41,0.001830318,3,Auto,2,2,1
22446790,7887,28/02/1990,7,658,4,75110.32,0.398317006,4,Auto,5,3,4
392437154,1813,3/09/1992,7,18,1,90997.24,0.439628892,6,Manual,5,3,5
997242427,1511,3/08/2007,8,422,3,92880.95,0.130688182,4,Manual,4,3,2
388460793,8530,13/07/2019,3,367,2,86144.19,0.092758369,6,Auto,4,3,2
283191576,79,10/03/1991,5,738,1,92818.44,0.219396687,7,Manual,4,2,5
677827584,4823,27/12/1988,3,648,1,87968.62,0.251338957,2,Manual,1,1,5
986105267,1517,11/06/1991,2,734,6,27572.04,0.392694323,6,Auto,3,2,5
174570671,7738,11/04/2003,6,736,1,23861.03,0.066275111,4,Auto,5,1,1
828165953,3362,4/04/2020,4,335,8,36801.67,0.183775917,3,Auto,4,2,2
771729958,9513,28/02/1985,4,37,10,49990.44,0.41662461,7,Auto,2,3,3
408157915,5060,14/07/2014,2,557,7,24750.21,0.162022539,5,Auto,3,3,1
221381254,4893,1/08/1982,7,287,10,28289.19,0.084766842,5,Manual,5,5,3
366803661,7472,12/06/2011,7,631,6,76843.36,0.399467565,3,Manual,2,2,2
954530104,8610,8/02/1973,7,517,6,59816.75,0.311358289,3,Auto,1,4,1
261977201,700,5/04/2008,6,713,4,55519.14,0.05663594,2,Auto,3,2,1
459587787,4513,10/10/1984,1,507,1,45914.48,0.458149351,2,Auto,1,1,4
856509384,3600,20/03/1978,6,732,2,30290.2,0.117728452,4,Manual,1,3,1
653506016,4728,7/06/2009,8,230,3,72944.28,0.300090941,6,Manual,4,1,4
398211273,7228,15/01/1984,4,430,10,33060.67,0.215164219,2,Auto,5,2,3
152989921,2022,17/03/2011,5,889,3,96591.75,0.181991882,5,Auto,4,5,4
140057059,161,25/08/1981,1,595,8,49266.3,0.265516918,6,Manual,5,3,5
539966042,766,15/06/1989,7,778,8,82258.25,0.256927236,6,Auto,2,2,4
710686382,3232,20/12/1999,7,203,3,86035.48,0.469638093,3,Auto,5,5,1
413971676,1689,6/05/1993,4,764,8,96648.93,0.347868497,4,Auto,5,1,1
677994428,7084,11/02/2021,6,678,1,60890.37,0.005496166,2,Auto,2,3,1
641147493,8031,4/08/2010,8,716,1,78455.88,0.034932403,3,Auto,5,1,4
885059751,3659,13/11/2012,4,324,4,99041.22,0.34691067,4,Manual,4,1,3
457282754,4886,25/06/1981,1,552,4,2449.57,0.22267076,4,Manual,3,1,1
441698143,7857,14/03/1996,6,828,1,16478.7,0.144261916,1,Auto,4,1,3
337430922,869,27/02/1985,7,786,8,52110.46,0.383531415,6,Manual,1,2,4
740538088,1824,16/11/1979,1,900,7,41359.64,0.149064751,7,Auto,1,5,3
530893741,5531,23/06/1987,8,283,7,66324.97,0.232569991,6,Manual,2,4,3
395014835,2140,23/12/1971,3,296,7,19087.46,0.365375281,6,Auto,1,2,5
523170520,4012,25/01/1979,1,418,6,39655.38,0.397954837,5,Manual,1,2,2
25708762,2446,7/04/1999,6,701,10,66611.52,0.199731316,6,Manual,4,5,5
415475530,1525,24/03/2020,7,418,3,56343.04,0.171315509,2,Manual,2,2,1
195086211,2929,8/04/1981,5,548,8,49796.97,0.491206799,5,Manual,3,5,2
961626767,6398,10/10/1984,3,619,2,92535.54,0.293660279,2,Auto,2,4,4
999961051,1387,28/02/1982,1,736,9,36946.9,0.480871346,4,Auto,5,4,3
926274471,4067,27/09/2020,5,701,5,69132.02,0.008415636,4,Manual,5,1,1
458421277,1043,1/12/1995,4,29,2,21299.52,0.109887288,6,Manual,3,1,5
649582773,905,26/05/1990,7,581,6,37020.53,0.461378565,1,Manual,2,5,1
904582382,4425,24/09/1977,6,684,8,30924.77,0.277107295,7,Manual,4,1,4
61804362,9488,6/05/2012,2,215,4,3306.13,0.467511351,4,Auto,3,1,4
146463618,5502,6/11/1970,1,349,2,30587.54,0.401324457,2,Manual,2,4,5
785629331,5058,18/06/2017,4,202,9,32675.49,0.148276124,6,Auto,2,2,1
233536310,1841,14/10/1981,4,394,6,13816.27,0.208025446,6,Manual,1,3,5
601272567,6509,7/12/1972,6,386,10,77471.63,0.105587497,6,Auto,3,1,1
661636989,7401,27/08/1996,2,877,9,97031,0.396506882,2,Auto,1,2,5
980579231,8858,16/10/2016,6,38,8,42427.07,0.467080624,1,Auto,4,3,5
536643087,5294,2/09/1977,8,423,5,3750.45,0.307117088,3,Manual,4,5,2
144417347,5875,28/09/1975,4,614,7,34057.27,0.352329721,4,Manual,5,1,1
812119526,8935,13/01/1984,3,483,1,83409.79,0.191924735,6,Auto,4,5,1
580919316,5763,12/07/2017,8,210,3,22170.59,0.352471888,6,Manual,2,1,3
850770838,1775,4/03/1993,1,223,8,38441.33,0.144209932,2,Auto,3,2,3
330356135,6527,22/10/2013,1,3,9,22987.99,0.020000038,6,Manual,1,5,5
15356724,8205,11/11/1987,4,305,1,67196.18,0.043485974,6,Manual,1,2,4
472808341,1591,8/01/2003,3,348,2,75444.35,0.181811689,3,Auto,3,5,2
103355320,2987,17/05/1999,2,750,6,90292.67,0.112033538,1,Manual,2,1,4
337593172,6648,23/12/2005,2,407,2,94493.15,0.266454232,6,Auto,4,2,4
663998630,7780,4/09/2012,2,747,6,52855.27,0.309811965,2,Manual,5,5,4
302098589,8821,2/09/1995,3,543,1,1277.15,0.045713396,6,Auto,4,5,3
940334721,5748,22/12/1990,5,577,7,62418.5,0.003907282,1,Manual,3,3,5
345961993,6710,9/10/1994,3,212,3,27626,0.242195376,5,Auto,2,2,5
282581965,7796,8/08/2012,4,746,1,43810.76,0.418022097,7,Manual,3,3,1
846062863,8742,22/01/2009,7,103,2,92932.69,0.423683886,2,Manual,1,5,4
748178356,5810,12/11/1979,5,210,5,28881.56,0.24259735,2,Auto,4,1,4
606946181,5757,18/01/1984,7,324,6,69140.11,0.28222745,2,Manual,4,1,5
268880066,5998,13/06/2000,7,175,8,35744.17,0.387487471,5,Auto,2,1,1
618694991,8240,7/01/1990,3,61,8,50487.31,0.197561064,6,Auto,1,5,4
733057277,9939,14/08/2006,3,671,3,76867.01,0.100978744,2,Auto,3,1,5
244739775,2845,12/06/1981,4,224,7,11113.18,0.051738968,2,Auto,4,2,3
476126616,1653,19/09/1987,2,875,6,58456.1,0.21712645,5,Auto,2,5,3
875946078,2463,21/05/1992,3,820,2,64500.39,0.22755163,5,Manual,5,5,4
502307511,1317,21/06/1983,3,632,10,3147.66,0.171375933,6,Auto,3,4,4
318636335,6490,26/11/1992,2,73,2,57371.13,0.025901487,6,Auto,4,1,5
394822583,7928,16/09/1983,2,897,8,15601.83,0.323295411,1,Auto,2,3,2
740643653,3628,23/01/1975,3,408,1,49032.74,0.378407294,1,Manual,3,3,2
846320474,7444,21/09/2006,1,408,10,98727.37,0.296068188,1,Manual,1,3,2
500965193,5175,13/06/1988,8,568,4,15261.32,0.495500256,5,Manual,4,1,5
653894036,4377,4/08/2002,8,705,8,18408.66,0.138634759,7,Manual,2,2,1
270561777,4071,7/05/1984,8,70,2,23566.71,0.239846532,3,Manual,1,4,4
70614792,7171,22/06/2014,4,373,5,89434.59,0.241173392,2,Manual,5,3,2
87729056,5153,15/04/1979,8,308,8,81713.5,0.42021678,6,Manual,3,2,1
977183280,4932,18/10/1981,7,253,1,1501.57,0.352571787,5,Auto,5,1,3
391846355,1472,21/06/1987,6,44,4,64711.62,0.112578753,7,Manual,5,3,2
461617876,1197,20/07/2019,7,142,1,74056.17,0.411212372,7,Auto,1,1,3
937404977,2373,23/07/1989,3,203,10,56737.97,0.406853077,4,Auto,1,5,4
610222532,9079,25/06/1997,4,555,9,23956.48,0.06221757,3,Auto,1,3,2
126019206,5709,28/08/2015,6,88,2,36418.16,0.228721454,4,Manual,4,2,2
76480865,258,20/10/2009,2,476,4,11295.13,0.004082529,3,Auto,2,5,4
260611372,9172,22/03/1977,5,875,2,98636.65,0.114551582,1,Auto,4,4,3
581553715,1875,5/02/1997,3,490,6,4968,0.402570551,3,Manual,3,1,2
619377213,9373,23/09/1975,2,369,1,54854.69,0.383090594,6,Manual,1,1,4
334023167,6267,21/10/1978,1,159,6,16494.28,0.13548489,6,Auto,5,5,3
852508508,5569,13/04/2000,7,433,8,32465.15,0.231846124,6,Manual,2,2,4
503682990,1720,20/12/1977,7,174,3,78209.24,0.47718583,5,Auto,3,5,3
211326829,6387,11/01/1984,7,524,10,13222.81,0.478869183,7,Auto,3,3,5
242367243,8566,8/07/2005,6,897,8,91605.81,0.002120078,7,Manual,4,2,1
207980949,8870,2/10/2008,3,612,3,68178.05,0.056411146,3,Auto,3,2,4
237004259,5144,14/12/1982,5,445,3,38250.04,0.475638403,2,Auto,5,1,1
946605829,3765,20/11/2005,8,86,8,80906.76,0.366208958,4,Manual,2,4,4
570099908,5496,26/10/2018,8,527,3,9106.21,0.270353497,1,Manual,4,3,4
215270199,9522,4/04/2005,2,268,8,93798.75,0.053480024,7,Manual,1,2,1
420984624,2003,27/08/2007,5,709,3,73050.95,0.226601209,5,Auto,2,5,4
449580767,386,21/04/1971,1,642,3,83260.81,0.138512837,3,Auto,3,3,2
604948913,2818,7/01/1999,8,626,1,98110.01,0.327870501,1,Auto,5,3,1
926364289,706,12/09/2021,4,887,6,15652.98,0.374277999,5,Auto,5,4,1
677860065,2943,22/06/2009,4,59,9,29116.96,0.15908022,5,Manual,5,2,3
781325529,9254,19/04/2020,3,739,9,77372.98,0.401741148,5,Manual,2,4,5
65685926,7675,19/03/1979,4,168,7,54285.71,0.074704476,1,Auto,4,3,3
985094666,337,21/01/2015,3,866,9,96551.63,0.190636108,7,Auto,3,5,2
402050568,1652,21/05/1992,6,400,4,10087.75,0.269924797,7,Manual,5,4,3
811395661,6760,23/03/1995,7,101,2,79911.2,0.413347884,7,Auto,3,1,1
649522199,1371,24/12/2013,5,611,6,40329.02,0.07508087,5,Manual,1,3,5
454176202,4235,13/06/1983,4,397,2,13216.35,0.151185392,7,Auto,1,2,5
738857075,7799,5/02/2013,2,735,10,80412.33,0.485041867,2,Manual,2,5,5
804863614,4923,28/04/1995,4,431,10,49667.14,0.008612052,4,Manual,5,5,2
188369254,9704,9/01/2002,1,71,7,53349.57,0.192095506,7,Auto,3,1,1
882954862,6895,7/02/2016,1,95,9,88583.9,0.108282111,2,Manual,1,5,3
570074930,1309,25/05/1993,7,176,6,89427.25,0.17979608,4,Manual,4,4,5
235335260,2462,14/11/1993,1,82,3,20201.42,0.318103948,6,Manual,5,4,2
76681131,7421,18/03/1980,6,430,1,1441.51,0.415043661,7,Auto,1,4,3
199199891,6294,2/07/1979,1,131,4,87671.92,0.061164515,4,Manual,4,3,5
262017330,2556,26/05/1993,8,184,6,23548.17,0.424974214,2,Manual,3,3,5
505064516,204,8/01/1988,1,412,5,93326.47,0.232159712,2,Auto,2,4,1
138259505,6316,13/07/1976,2,687,2,7284.12,0.12411945,2,Manual,1,1,5
869524626,607,18/02/2002,7,102,9,46237.84,0.166773014,5,Manual,4,3,2
98492941,3646,26/03/2003,2,500,2,96386.93,0.261900923,5,Manual,5,4,4
587717821,9448,27/11/2004,2,460,9,33071.01,0.062010564,1,Manual,4,1,1
272540029,7466,16/08/2000,3,165,5,59438.29,0.226653214,3,Manual,3,5,4
954602086,8201,9/08/2003,4,142,7,6599.39,0.222037657,6,Auto,2,2,4
